operadora,title_text,reclamacao_text,status_text,data_text,scrapy_datetime
amil,"COBRANÇA INDEVIDA, OBRIGAÇÃO DE AVISO PRÉVIO INDEVIDO","Ao cancelar meu Plano de Saúde AMIL (Contrato PJ) a operadora me cobrou 2 meses de um aviso prévio INDEVIDO, além de se negar a ca",Resolvido,Há 2 dias,2023-05-06 16:55:19
amil,NÃO  TEM VAGAS PARA  OBSTRETA,"Boa tarde;   minha esposa  descobril que estava grávida com 3 meses,  deste dia em que ela descobriu a gravidez,  estamos traçando",Resolvido,Há 3 dias,2023-05-06 16:55:19
amil,Amil quer mesmo se livrar dos planos individuais,"A amil realmente quer se livrar de tds q tem planos individuais. Além de não conseguir marcas consultas, ter dificuldades em fazer",Resolvido,Há 4 dias,2023-05-06 16:55:19
amil,"A Amil nunca paga reembolso das cirurgias, só paga se abrir reclamação na ANS",Já perdi as contas de quantas vezes abri reclamação na ANS para conseguir receber reembolsos de cirurgias. Sempre pagam um valor i,Resolvido,Há 4 dias,2023-05-06 16:55:19
amil,Amil não atende seus clientes,"Recebo minha fatura mensal por email. Ocorre que esse mes a mesma não chegou. Estou a mais de uma semana tentando ligar, usando o ",Resolvido,Há 4 dias,2023-05-06 16:55:19
amil,DIFICULDADE PARA MARCAR EXAMES,"Bom dia !  Moro em Niterói querendo marcar uma tomografia, liguei para Labs Mais e Proecho onde estou acostumada a fazer, não real",Resolvido,Há 4 dias,2023-05-06 16:55:19
amil,Procedimentos cirúrgico bloqueio/infiltração,Bom dia! Por estar com dores nos ombros e já ter feito duas cirurgias no ombro meu médico sugeriu fazer cirurgia ( q envolve bloqu,Resolvido,Há 4 dias,2023-05-06 16:55:19
amil,Retorno médico,Fiz uma cirurgia dia 28 e tenho que retornar em 15 dias após esta data mas só há agendamento disponível para 13 e 15 de JUNHO! Que,Resolvido,Há 5 dias,2023-05-06 16:55:19
amil,Reembolso sofrido,"Com diagnóstico de carcinoma invasor da mama direita, fui submetida a uma segunda cirurgia em que foi necessária a presença de uma",Resolvido,Há 5 dias,2023-05-06 16:55:19
amil,Reembolso sem possbilidade de solicitar,"A empresa que trabalho cancelou o plano da Amil, porém tenho reembolso a solicitar durante o período vigente.Através do app ",Resolvido,Há 7 dias,2023-05-06 16:55:19
amil,CemedCare,"Meu filho recebeu alta por volta de 13:00, e comecei o contato com a Amil e com a home Care. Fui informada às 15:00 pela atendente",Resolvido,Há 8 dias,2023-05-06 16:55:19
amil,Não consigo falar com atendente,"Estou tentando falar com atendente ligando várias vezes e quando a secretária eletrônica diz que vai transferir pra atendente, a l",Resolvido,Há 8 dias,2023-05-06 16:55:19
amil,Livro da rede credenciada,"Olaquando fechei o convênio da minha mãe - CPF*******, solicite a corretora o livro da rede credenciada impresso pois minha ",Resolvido,Há 8 dias,2023-05-06 16:55:19
amil,Atendimento negado em clínica de terapia  por falta de pagamento,"Tenho o convênio com a amil a mais de 2 anos, tentei por várias vezes terapia para meu filho com síndrome de down, depois de muita",Resolvido,Há 8 dias,2023-05-06 16:55:19
amil,Amil suspende carta de reembolso e deixa criança com AUTISMO sem Clinica e sem Carta !!!!!!!!!!!!!!,"No dia 02/04/2023, solicitei ao convenio que liberasse carta de reembolso, a Amil me indicou duas clínicas, ambas informaram ao co",Resolvido,Há 8 dias,2023-05-06 16:55:19
amil,CARTA DE PORTABILIDADE,É impossível a Amil resolver o problema. Preciso apenas de uma carta de portabilidade para a Unimed e estou a 3 dias tentando fala,Resolvido,Há 8 dias,2023-05-06 16:55:19
amil,Não consigo carta de portabilidade,"Estou há dias tentando carta de portabilidade pra mudar de plano, mas os canais de atendimento têm opções limitadas, nos mandam pa",Resolvido,Há 8 dias,2023-05-06 16:55:19
amil,Novamente Rede Credenciada?,Hoje entrei em contato mais uma vez com a Central do Laboratório Amais e meu plano de saúde (Amil 400 Nacional Qc Adesão) teve con,Resolvido,Há 8 dias,2023-05-06 16:55:19
amil,Criança c febre liberada,"Bom cheguei com meu filho na unidade primeira vez de uso do plano,meu filho estava com febre e passou- a noite inteira com febre a",Resolvido,Há 9 dias,2023-05-06 16:55:19
amil,Atraso na entrega de medicamento,"Eu faço uso de medicamento tamoxifeno 20 mg , e a empresa conveniada com a Amil total Care entrou em contato comigo explicando que",Resolvido,Há 9 dias,2023-05-06 16:55:19
amil,Mudança de conta urgente para reembolso,Preciso urgente mudar a conta para recebimento de reembolsos,Resolvido,Há 9 dias,2023-05-06 16:55:19
amil,Cadastro de clientes de voces usando meu email,"Bom dia,Pelo visto reclamar direto pela empresa nao resolve, entao nao tenho opcao a nao ser usar esse serviço.Foi sol",Resolvido,Há 9 dias,2023-05-06 16:55:19
amil,Exames ficou pendente e depois pendente de documentação,Fui fazer exames na minha bebê e ficou 2 exames para a Amil Validar Algumas hs depois de chegar em casa fui no aplicativo pr,Resolvido,Há 9 dias,2023-05-06 16:55:19
amil,Reembolso,"No dia 13/04/2023, minha esposa passou por uma cirurgia da coluna servical no Hospital VITA da BR.No qual o valor da instrum",Resolvido,Há 10 dias,2023-05-06 16:55:19
amil,Preciso q meu filho faça-o exame pentacam ceratocone urgente,A amil me ligou ontem falando q iria cobrir o exame porém o paciente Thiago brainer neuman precisa  urgentemente a médica q indico,Resolvido,Há 10 dias,2023-05-06 16:55:19
amil,Péssimo atendimento,"Boa tarde!Liguei para a Amil há 1 mês mais ou menos, por estar com um pedido médico para colocaclção de Diu Mirena. A pessoa",Resolvido,Há 10 dias,2023-05-06 16:55:19
amil,Exame,Estou tentando agendar um raiox panoramico da coluna para minha filha mas não encontro um lugar que faça. Já liguei para algumas c,Resolvido,Há 10 dias,2023-05-06 16:55:19
amil,Atendimento psiquiatra nacne amil,"Meu filho autista, está com pedido médico de urgência para passar com o psiquiatra indicado pela neurologista, no APP mostra o end",Resolvido,Há 10 dias,2023-05-06 16:55:19
amil,VALOR DE REEMBOLSO,Possuo convênio da Amil há anos e antigamente não havia uma necessidade tão urgente de saber o valor para reembolso. De 2 anos pra,Resolvido,Há 10 dias,2023-05-06 16:55:19
amil,REDE CREDENCIADA OU PRÓPRIA (EXAME COLPOCITOLOGIA Oncótica meio líquido),Estive em consulta na clínica da rede credenciada Climma em Arujá SP e a médica me pediu alguns exames e dentre eles Colpocitologi,Resolvido,Há 11 dias,2023-05-06 16:55:19
amil,Sem Reembolso Total,"Recentemente minha esposa, que e minha dependente no plano de saude da Amil S-750 QP, teve que fazer cirurgia de catarata nos dois",Resolvido,Há 11 dias,2023-05-06 16:55:19
amil,Recusa atendimento,Fiz uma reclamação pois não consigo agendar uma simples consulta médica (fisiatra)passei 2 vezes com um médico fisiatra no estado ,Resolvido,Há 11 dias,2023-05-06 16:55:19
amil,Não consigo agendar exame na rede própria por nenhum canal de atendimento,"Estou tentando agendar uma colonoscopia para a minha mãe Francisca Cardoso de Souza, já tentei pelo app, por ligação e ninguém sab",Resolvido,Há 11 dias,2023-05-06 16:55:19
amil,Não existe rede credenciada para exame,"Boa tarde!Estou tentando em todas as clínicas e hospitais das cidades de Guaratinguetá , Taubaté e São José dos Campos um ex",Resolvido,Há 11 dias,2023-05-06 16:55:19
amil,Negociação de fatura,"Boa tarde, tenho um plano empresarial da Amil e no mês de março fiz uma transformação de contrato.Para fazer a transformação a ate",Resolvido,Há 11 dias,2023-05-06 16:55:19
amil,ESTÃO ACAHANDO QUE SOU PALHAÇA E NÃO TENHO OQUE FAZER.,"DEPOIS DE MESES TENTANDO FAZER COM QUE CUMPRISSEM A OBRIGAÇÃO DE COBRIR O TRATAMENTO INTEGRAL DO MEU FILHO AUTISTA, DE TEREM ME EN",Resolvido,Há 11 dias,2023-05-06 16:55:19
